variant,subset,d_model,n_heads,n_layers,epochs_used,test_rmse,test_score,params,size_mb,flops,inference_ms
student_d16_h1_l1_gru_default,FD002,16,1,1,150,13.328805923461914,790.30615234375,8945,0.0341,226608.0,1.6432
student_d16_h1_l1_nogru,FD002,16,1,1,150,13.695459365844727,802.9090576171875,3745,0.0143,75496.0,0.9989
student_d8_h1_l1_gru,FD002,8,1,1,150,13.0896577835083,759.749267578125,2969,0.0113,78616.0,1.7813
student_d8_h1_l1_nogru,FD002,8,1,1,150,13.586669921875,780.9421997070312,1657,0.0063,37752.0,1.2184
student_d24_h1_l1_gru,FD002,24,1,1,150,13.284502983093262,714.2073974609375,12249,0.0467,287328.0,1.5381
student_d24_h1_l1_nogru,FD002,24,1,1,150,13.461847305297852,869.84033203125,6449,0.0246,113340.0,0.9942
student_d32_h2_l1_gru,FD002,32,2,1,150,13.036772727966309,719.954345703125,16065,0.0613,348048.0,1.2197
student_d32_h2_l1_nogru,FD002,32,2,1,150,13.211305618286133,775.6063232421875,9729,0.0371,151248.0,1.6207
student_d32_h2_l2_gru,FD002,32,2,2,150,13.187270164489746,735.217529296875,24609,0.0939,478608.0,2.2628
student_d32_h2_l2_nogru,FD002,32,2,2,150,13.49084758758545,720.235107421875,18273,0.0697,281808.0,2.0004
student_d64_h4_l2_gru,FD002,64,4,2,150,14.111947059631348,816.9232788085938,78785,0.3005,1326880.0,2.2766
student_d64_h4_l2_nogru,FD002,64,4,2,150,13.702624320983887,856.1861572265625,53825,0.2053,564640.0,1.8969
